brand_id,brand_name
1,Revlon
2,Milani
3,Urban Decay Cosmetics
4,KIKO Milano
5,WYN BEAUTY
6,MAC
7,POUND CAKE
8,ColourPop
9,ULTA Beauty Collection
10,L'Oréal
11,Smashbox
12,about-face
13,ILIA
14,NATASHA DENONA
15,BLK/OPL
16,Essence
17,Stila
18,Laura Mercier
19,KVD Beauty
20,CHANEL
21,Dior
22,KYLIE COSMETICS
23,Morphe
24,CoverGirl
25,NARS
26,Anastasia Beverly Hills
27,FLOWER Beauty
28,Ulta Beauty Collection
29,UOMA Beauty
30,Lancôme
31,Buxom
32,Lime Crime
33,Estée Lauder
34,FENTY BEAUTY by Rihanna
35,jane iredale
36,Ofra Cosmetics
37,NABLA
38,PAT McGRATH LABS
39,BOBBI BROWN
40,LAURA GELLER
41,Wet n Wild
42,Charlotte Tilbury
43,Maybelline
44,NYX Professional Makeup
45,J.Cat Beauty
46,Clinique
47,Rabanne
48,RMS Beauty
49,Juvia's Place
50,HOURGLASS
51,r.e.m. beauty
52,The INKEY List
53,Tarte
54,e.l.f. Cosmetics
55,af94
56,bareMinerals
57,Supergoop!
58,Live Tinted
59,Too Faced
60,Revolution Beauty
61,ICONIC LONDON
62,HALF MAGIC
63,L.A. Girl
64,NUDESTIX
65,Clarins
